ID,Name,Address,Notes,Phone_Number,Station_Type,Vaccine_Type,Notes,formatted_address,latitude,longitude
0,Abyssinian Baptist Church- Pop Up ,"132 West 138th Street, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","132 W 138th St, New York, NY 10030, USA",40.8166821,-73.9415561
1,AMC Magic Johnson Harlem- Pop Up ,"2309 Frederick Douglass Blvd, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccine offered:Pfizer (5-11),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","2309 Frederick Douglass Blvd, New York, NY 10027, USA",40.8096863,-73.9517817
2,Barclays Center - Modells Pop-Up Vaccination Site- Pop Up ,"140 Flatbush Avenue, Brooklyn","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Indoor ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ","140 Flatbush Ave, Brooklyn, NY 11217, USA",40.6836651,-73.9775871
3,Bay Street Health Center ,"57 Bay Street, Staten Island","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (12+)Moderna (18+)Pfizer (5-11),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ","57 Bay St, Staten Island, NY 10301, USA",40.6406139,-74.0754267
4,Bayswater Skate Park- Pop Up ,"Bay 32nd St & Falcon Ave, Far Rockaway, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","Bay 32nd St, Brooklyn, NY 11214, USA",40.599333,-73.994107
5,Black Health- Pop Up ,"215 W 125th St, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","215 W 125th St, New York, NY 10027, USA",40.8096896,-73.9488864
6,Blink @ Canarsie- Pop Up ,"E 92nd St at Flatlands Ave, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","Flatlands Ave & E 92nd St, Brooklyn, NY 11236, USA",40.6411404,-73.9046582
7,Blink @ Crown Heights- Pop Up ,"257 Utica Avenue, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","257 Utica Ave, Brooklyn, NY 11213, USA",40.6698423,-73.9307437
8,Blink @ East Tremont- Pop Up ,"645 E. Tremont Ave, Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","645 E Tremont Ave, Bronx, NY 10457, USA",40.8460887,-73.8918899
9,Blink @ Gun Hill- Pop Up ,"3580 White Plains Road, Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","3580 White Plains Rd, Bronx, NY 10467, USA",40.8789116,-73.8651613
