,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
0,"132 W 138th St, New York, NY 10030, USA",40.8166821,-73.9415561,ROOFTOP,ChIJM3PEM3f2wokRhS7SxTpEzis,street_address,10030,"132 West 138th Street, Manhattan, NY",1,OK
1,"2309 Frederick Douglass Blvd, New York, NY 10027, USA",40.8096863,-73.9517817,ROOFTOP,ChIJERrCMxP2wokRi2KH_kyh-Ic,street_address,10027,"2309 Frederick Douglass Blvd, Manhattan, NY",1,OK
2,"140 Flatbush Ave, Brooklyn, NY 11217, USA",40.6836651,-73.9775871,ROOFTOP,ChIJv6MT3K1bwokRMHfTdWaiJQA,premise,11217,"140 Flatbush Avenue, Brooklyn, NY",1,OK
3,"57 Bay St, Staten Island, NY 10301, USA",40.6406139,-74.0754267,ROOFTOP,ChIJp9G_ldJPwokReg6-lTthtzc,premise,10301,"57 Bay Street, Staten Island, NY",1,OK
4,"Bay 32nd St, Brooklyn, NY 11214, USA",40.599333,-73.994107,GEOMETRIC_CENTER,ChIJRfpcAAhFwokRgykGF9vtCBE,route,11214,"Bay 32nd St & Falcon Ave, Far Rockaway, Queens, NY",2,OK
5,"215 W 125th St, New York, NY 10027, USA",40.8096896,-73.94888639999999,ROOFTOP,ChIJQzIOSm32wokRe0klT3besb4,premise,10027,"215 W 125th St, Manhattan, NY",1,OK
6,"Flatlands Ave & E 92nd St, Brooklyn, NY 11236, USA",40.6411404,-73.9046582,GEOMETRIC_CENTER,EjJGbGF0bGFuZHMgQXZlICYgRSA5Mm5kIFN0LCBCcm9va2x5biwgTlkgMTEyMzYsIFVTQSJmImQKFAoSCZt5xJbDXMKJER1wwt42PG-wEhQKEgmbecSWw1zCiREdcMLeNjxvsBoUChIJszlBVdtcwokRsZr_oifksVMaFAoSCQPFnInqXMKJEbKzAByIY1jeIgoNjFg5GBVKC_PT,intersection,11236,"E 92nd St at Flatlands Ave, Brooklyn, NY",1,OK
7,"257 Utica Ave, Brooklyn, NY 11213, USA",40.6698423,-73.9307437,ROOFTOP,ChIJeTwqc35cwokR-eub3LM81qg,premise,11213,"257 Utica Avenue, Brooklyn, NY",1,OK
8,"645 E Tremont Ave, Bronx, NY 10457, USA",40.8460887,-73.8918899,ROOFTOP,ChIJKURVK2L0wokR6jJDAGOH6wk,premise,10457,"645 E. Tremont Ave, Bronx, NY",1,OK
9,"3580 White Plains Rd, Bronx, NY 10467, USA",40.8789116,-73.8651613,ROOFTOP,ChIJwdoyKz7zwokR3FUmjJg4Hag,street_address,10467,"3580 White Plains Road, Bronx, NY",1,OK
