,Name,Address,Notes,Phone_Number,Station_Type,Vaccine_Type,Notes
0,Abyssinian Baptist Church- Pop Up ,"132 West 138th Street, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
1,AMC Magic Johnson Harlem- Pop Up ,"2309 Frederick Douglass Blvd, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccine offered:Pfizer (5-11),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
2,Barclays Center - Modells Pop-Up Vaccination Site- Pop Up ,"140 Flatbush Avenue, Brooklyn","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Indoor ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , "
3,Bay Street Health Center ,"57 Bay Street, Staten Island","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (12+)Moderna (18+)Pfizer (5-11),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , "
4,Bayswater Skate Park- Pop Up ,"Bay 32nd St & Falcon Ave, Far Rockaway, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
5,Black Health- Pop Up ,"215 W 125th St, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
6,Blink @ Canarsie- Pop Up ,"E 92nd St at Flatlands Ave, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
7,Blink @ Crown Heights- Pop Up ,"257 Utica Avenue, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
8,Blink @ East Tremont- Pop Up ,"645 E. Tremont Ave, Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
9,Blink @ Gun Hill- Pop Up ,"3580 White Plains Road, Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
10,BMS Family Health Center at St. Paul Community Baptist Church ,"859 Hendrix Street, Brooklyn","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (12+)Pfizer (5-11),"$100 incentive available , "
11,Boriken Neighborhood Health Center ,"2265 3rd Avenue, Manhattan","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Moderna (18+)Pfizer (12+)Pfizer (5-11),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , "
12,Brooklyn Neighborhood Health Action Center- Pop Up ,"485 Throop Ave, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
13,Brooklyn Prospect: Downtown/International Elementary Schools- Pop Up ,"80 Willoughby St, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Pfizer (5-11),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
14,Brooklyn Prospect: Windsor Terrace Elementary School- Pop Up ,"3002 Ft Hamilton Pkwy, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Pfizer (5-11),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
15,Brooklyn Prospect: Windsor Terrace Middle School- Pop Up ,"40 Flatbush Ave Ext, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Pfizer (5-11),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
16,Brownsville Multi-Service Family Health Center at Ashford ,"650 Ashford St, Brooklyn","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (12+)Moderna (18+),"$100 incentive available , "
17,Bryan Park- Pop Up ,"E Fordham Rd & E Kingsbridge Rd, Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up ,Vaccine offered:Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
18,Chefs Warehouse- Pop Up ,"240 Food Center Drive (parking lot), Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
19,Conference House Park- Pop Up ,"Corner of Saterlee Street and Hylan Blvd, Staten Island","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
20,CUNY - Borough of Manhattan Community College- Pop Up ,"245 Greenwich St (Corner of Park Place and Greenwich St), Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
